zip code,graduate_or_professional,highSchool_or_higher,bachelors_or_higher
49347,5,92.1,14.1
63126,18,96,45.4
21921,10.1,88.7,23.9
37880,9.2,74.7,13.9
27455,20.8,95,51.5
46045,0,89.6,0
63828,0,70,2.9
68157,7,90.6,29.6
31747,13.5,56.8,13.5
08202,26,98.3,56.6
14879,6.5,87.7,14.2
64832,9.3,88.3,23.6
95212,7.6,77.2,22.4
05442,10.9,87.8,27.9
30176,6.3,81.2,13.7
95825,10.3,87.5,33.2
34465,6.7,90.3,20.6
50005,1.8,90.6,16.9
57536,2,94.7,7.8
98402,21.8,89.6,41.1
98552,1,86.9,6.2
72834,4.4,78.5,14.5
61537,4.5,92.3,20.1
48765,2.2,84.3,8.9
47272,6.1,85,11.9
78144,32.5,100,32.5
49055,6.1,88.8,16.4
42024,9,87.4,21.6
21920,0,84.9,0
99124,10.2,88.3,22.4
48761,5.6,86.2,12.7
13204,7.6,78.3,21.9
93455,9.8,88.8,28.8
19004,42.6,96.9,74.7
75469,6.4,88,10.6
48127,10.2,85.9,25.6
13687,17,98.1,28.4
59851,0,83.7,4.1
20010,33.2,82.5,58.3
04780,4.8,75,14.5
78013,5.2,80,16.3
01929,27,98.2,58.4
85362,3.4,89.8,15.2
25951,4.8,79.8,14.3
71463,4.5,82.1,10.7
47710,5.1,84.8,17.1
62410,3.4,92.1,12.9
84783,17.1,96.9,30.4
98418,5.2,86.2,19.3
93251,0.5,60.7,4.9
12922,5.4,91.9,21.6
27017,6.1,76.2,17.1
83815,6.7,92,25.8
66612,9.8,88.6,19.6
37387,8.9,62.9,14.1
38915,6.7,79.1,11.6
65054,13.1,95.3,33.2
26501,16.5,91.1,35.4
07057,9.1,91.9,27.9
25314,29.3,96.3,59.1
02764,16.1,92.3,26.4
65644,3.7,83.1,9.9
33559,15.5,94.3,38.9
98671,10.4,93.5,29.5
02873,33.9,100,66.1
33181,10.5,88.3,31.5
19941,4,70.9,8.2
63039,0,84.2,5.7
65011,0.8,59.1,8.6
28660,4.9,90.3,19
66951,8,94.9,26.4
24656,1.4,73.4,5.3
85654,0,100,0
05742,10.8,95.3,33.4
74358,4,76.7,10
06120,1.4,69.4,4.1
43060,4.6,92.4,14.7
75785,5.1,77.9,15.4
19363,8.3,83.7,27.6
99201,12,88.2,25.8
74560,3,84.6,12.9
23867,1.9,84.4,14.1
11718,29.2,96.9,58.7
03467,18.7,98.5,45.6
64867,4.1,89.5,9.5
18063,0,98.4,18.3
39209,4.8,79.2,13.7
72170,4.9,89,20.2
98855,4.7,76.6,14.1
48108,31.5,94.7,59.3
61315,0,81.3,1.4
27523,25.5,95.8,55.8
99693,3.7,82.8,20.1
16508,8.4,92.2,29.6
93630,1.8,58.8,7.6
15533,6.8,81.9,10.2
49033,4.9,95.6,19.5
51232,2.5,86.7,21.2
08836,34.8,96.7,66.5
73447,2.7,84.1,10.9
49026,4.7,92,25
06807,33.3,95,66.2
13621,14,81.2,21.9
01129,12,89.2,28.4
43547,17.2,87.3,17.2
25209,3.2,79.1,5.9
87539,0,100,0
72087,4.8,91,19.4
03858,11.7,95.4,35.5
72129,3.7,86.7,11.4
76904,11.3,95.5,38.8
79236,5.7,81.4,19.6
82922,25.6,100,69.2
38962,0,74.7,0
38317,1,73.7,6.9
52335,2.9,87.6,13
12494,20,98,56.5
21668,5.4,85.9,19.5
19971,22.1,96.2,49.8
95113,35,96.7,70.5
84628,6.7,97.8,14.8
01420,7.3,82.4,20.7
27110,0,100,41.4
04750,7.1,87,17
37406,3.6,77.1,10.7
98596,3.6,91,12.5
21918,3.9,87.1,12.8
75063,32.5,97.4,70.7
74369,1.8,89.5,14.7
32505,4.9,84.6,14.3
44454,7.5,93.6,21.8
50669,4.7,97.1,23.2
24221,0,74.7,5.3
66748,4.7,90.3,15.6
67149,8.8,94.8,29.3
06365,9,94.1,22.8
36313,0,87.3,2.4
59929,6.2,100,23.7
98503,9.4,92.8,29.9
04649,6.3,89.4,19.5
77011,1.4,50.2,6.5
33865,0,85.2,7.7
62556,0,92.9,12.3
50439,0,93.8,13.3
13126,11.9,87.8,26.7
03222,6.2,92.5,21.9
48505,2.3,80.6,7
70087,2.6,88.4,14.5
11373,7.6,73.6,26.2
47116,0,84.2,2
30345,25.8,84.2,53.9
12871,11.1,90.8,28.9
47035,0,28.4,0
30220,3.8,84.3,12
79904,3.8,77.2,14.7
78594,1.7,61.4,5.1
16875,10.6,84.8,25.8
77429,14.6,95,48.3
75708,1.7,68.7,8.5
12432,0,76.1,9.6
57076,3.2,91.9,25.9
08329,12.8,100,47.9
37095,0.3,83.4,10.1
61917,6.5,92.3,21.7
47338,5.9,92.3,12.7
28708,7.3,88.3,20.3
64158,8.7,97,36.8
01073,19.1,94.4,37.8
32181,6.4,79.2,19.4
58301,6.6,91.1,24.3
74843,20.2,94,42.7
89161,71,100,82.2
67629,0,87.6,16.3
69155,9.2,90.3,25.5
52737,1.3,63.2,7.6
05653,13.5,82.7,21.1
78043,4.2,62.9,12.6
79603,2.6,77.3,13.9
33919,15.4,92.9,37.6
58494,2.9,87.4,23.2
84765,16.3,97.9,38.7
29306,7.4,77.4,19.5
95559,0,53.2,24.1
30177,5.6,79.6,19.6
58343,0,90.6,9.4
07003,14.1,91.9,39.9
76645,6.3,77.3,16.3
66046,20.3,93.6,42.1
92270,18.3,96.2,42.7
67009,5,86.8,17.4
78057,9.7,79.8,23.6
83541,8.8,94.5,28
97033,0,100,16.1
54180,8.9,96.6,32.2
49224,7.3,87.7,17.8
21867,0,100,0
50612,9.5,100,32.5
34215,14.5,99.1,46.3
51105,1.1,67.1,7.2
13305,0,88.2,28.3
33781,6,86.6,18.7
50520,4.3,94.3,4.3
98544,0,100,0
62634,15.3,93.9,34.3
56097,3.2,85.8,17.6
72020,3.2,75.7,6.8
78884,11.3,90.5,25.8
12873,14,93.2,36.8
36550,11.1,93.4,47.4
76009,2.3,75.5,9.2
71845,2.1,78.4,15.5
51645,8.3,99.5,29.2
