number_of_fastfood,zip_code1,zip_code
1,01923-3619,01923
1,02111-1318,02111
1,02916-2020,02916
1,04938-6124,04938
1,05301-9049,05301
1,06492-2410,06492
1,07111-4718,07111
2,10001,10001
3,10002,10002
2,10003,10003
1,10005,10005
1,10006,10006
1,10007,10007
1,10009,10009
2,10010,10010
2,10011,10011
1,10014,10014
1,10016,10016
1,10018,10018
1,10019,10019
1,10022,10022
2,10025,10025
2,10027,10027
2,10029,10029
1,10030,10030
1,10033,10033
1,10034,10034
3,10036,10036
2,10038,10038
1,10039,10039
1,10128,10128
2,1020,1020
1,1027,1027
1,10306,10306
1,10310,10310
1,10314,10314
1,1040,1040
2,10451,10451
1,10452,10452
2,10455,10455
1,10456,10456
3,10457,10457
1,10458,10458
1,10460,10460
3,10461,10461
2,10462,10462
1,10463,10463
1,10465,10465
1,10466,10466
1,10467,10467
1,10469,10469
3,10475,10475
1,10541,10541
1,10550,10550
1,10567,10567
1,10573,10573
1,1060,1060
1,1073,1073
1,10801,10801
1,10901,10901
1,10940,10940
1,10990,10990
1,1104,1104
1,11050,11050
1,1106,1106
1,1109,1109
1,11103,11103
3,11201,11201
2,11203,11203
1,11205,11205
1,11207,11207
3,11208,11208
1,11214,11214
1,11216,11216
1,11220,11220
1,11222,11222
1,11223,11223
1,11233,11233
1,11235,11235
3,11236,11236
1,11237,11237
1,11360,11360
1,11361,11361
1,11364,11364
1,11365,11365
1,11367,11367
2,11373,11373
1,11374,11374
1,11379,11379
1,11415,11415
1,11418,11418
1,11420,11420
1,11427,11427
2,11433,11433
1,11530,11530
1,11550,11550
1,11554,11554
1,11572,11572
1,11580,11580
1,11694,11694
1,11701,11701
1,11722,11722
1,11726,11726
1,11743,11743
1,11756,11756
1,11772,11772
1,11776,11776
1,11780,11780
1,11784,11784
1,11787,11787
1,11792,11792
1,11798,11798
1,11801,11801
1,11967,11967
2,1201,1201
2,12043,12043
1,12110,12110
1,12118,12118
1,12130,12130
1,12180,12180
1,12182,12182
3,12203,12203
1,12205,12205
1,1230,1230
2,1238,1238
1,1240,1240
2,12401,12401
1,12413,12413
1,12453,12453
1,1247,1247
1,12524,12524
1,12538,12538
1,12546,12546
2,12553,12553
1,12701,12701
1,12754,12754
1,12801,12801
1,12834,12834
1,12866,12866
7,12901,12901
1,12953,12953
1,12983,12983
2,13021,13021
1,13027,13027
1,13031,13031
1,13032,13032
1,13039,13039
1,13045,13045
1,13069,13069
1,13090,13090
2,13126,13126
1,13148,13148
1,13208,13208
1,13210,13210
2,13212,13212
1,13219,13219
1,13346,13346
1,13365,13365
5,13421,13421
6,13440,13440
1,13490,13490
1,13492,13492
1,13501,13501
