mean,median,stdev,lat,lon,zip_code
22496.33,13144.33,27148.67,18.1718,-66.7133,00601
15078.4,11323.6,12503.6,18.3847,-67.1932,00602
26046.8,15386.4,29969.6,18.4395,-67.123,00603
27497.5,9461.0,41453.5,18.4723,-67.1297,00605
19194.0,15233.0,15261.0,18.1922,-66.9809,00606
26944.33,19881.67,23642.33,18.2872,-67.1151,00610
26967.0,18853.5,26828.0,18.444,-66.6679,00612
19302.0,13336.38,17429.88,18.4453,-66.6759,00614
17855.5,13615.5,15342.5,18.4535,-66.5632,00617
35351.33,21978.0,37841.0,18.0215,-67.1706,00623
18881.0,13161.0,16680.8,18.0489,-66.734,00624
33695.5,26096.0,31110.5,18.4493,-66.86,00627
9531.0,6774.0,9065.0,18.2354,-66.8815,00631
23750.33,17569.0,21169.33,18.056,-66.9422,00637
20379.5,16277.5,16264.0,18.2915,-66.5256,00638
24855.5,19434.0,20982.0,18.273,-66.7498,00641
22223.0,16560.0,19699.0,18.4159,-66.2668,00646
21219.67,12193.67,26176.0,17.9822,-66.9044,00653
21630.0,14632.5,22325.5,18.0069,-66.7966,00656
29125.5,19583.5,30595.0,18.436,-66.8041,00659
27904.0,21603.33,24374.67,18.1438,-67.1283,00660
22614.75,14632.0,21557.25,18.4825,-67.0349,00662
22355.0,17816.0,18250.0,18.1838,-66.5936,00664
26441.8,16085.4,28739.0,18.0463,-67.0509,00667
22213.75,16453.75,20261.75,18.3152,-66.865,00669
35143.0,28644.0,27748.0,18.4298,-66.479,00674
20337.0,13727.0,18328.0,18.3921,-67.0936,00676
18663.0,13686.5,15700.0,18.2191,-67.5612,00677
19277.5,13863.0,18085.0,18.4742,-66.9305,00678
18687.43,12069.0,20013.14,18.2071,-67.1165,00680
20925.5,16253.5,18064.5,18.1822,-67.1298,00682
35797.0,23798.0,42137.0,18.1426,-67.0624,00683
19434.5,13378.75,17750.25,18.3535,-66.9679,00685
22249.5,16397.0,20520.0,18.3345,-66.406,00687
27621.5,18641.5,24302.5,18.425,-66.3196,00692
19546.0,12138.71,22579.57,18.4599,-66.3791,00693
24325.0,18573.25,24289.25,18.0514,-66.8555,00698
22111.25,13532.0,28044.0,18.2393,-66.1173,00703
23915.5,16304.5,20945.0,18.1362,-66.266,00705
28610.5,20916.5,30959.0,18.0072,-65.8954,00707
20629.0,18049.0,14292.0,17.9764,-66.0658,00714
26437.0,17574.0,30719.0,18.019,-66.5811,00715
26759.0,22046.0,18120.5,18.2041,-65.7747,00718
28036.33,21162.0,23130.0,18.2972,-66.2378,00719
19873.67,13082.67,19924.33,18.2138,-66.4237,00720
12513.0,8840.0,12285.0,17.9873,-66.0106,00723
31626.12,20340.62,30308.75,18.2296,-66.0426,00725
69133.0,56122.0,57398.0,18.246,-65.9995,00726
25012.75,19324.25,22102.75,18.2229,-66.0498,00727
13641.0,8881.0,13314.0,18.0156,-66.6292,00728
48081.33,38687.0,38415.67,18.3753,-65.8942,00729
26519.77,19390.31,24399.77,18.0237,-66.6202,00731
7224.0,6020.0,6161.0,18.0086,-66.6268,00732
28457.0,19292.0,26127.0,18.0032,-66.6377,00733
31032.0,23079.5,30162.5,18.26,-65.6576,00735
23463.0,15388.67,24953.33,18.1153,-66.1657,00736
21494.0,17373.0,15530.0,18.112,-66.1593,00737
25951.75,21068.5,20476.5,18.3249,-65.662,00738
26994.33,21294.33,23501.67,18.1835,-66.1566,00739
26432.83,20570.0,21968.5,18.3798,-65.822,00745
28516.67,22674.67,23679.0,17.9719,-66.2385,00751
21023.33,14097.33,19190.67,18.1656,-65.9795,00754
15859.0,12248.5,12465.0,17.9888,-66.3771,00757
27742.0,23595.0,20854.0,18.114,-65.5008,00765
22675.33,17008.0,20288.67,18.1292,-66.4905,00766
18267.67,14017.33,14217.0,18.0493,-65.9042,00767
20102.33,15649.33,20809.67,18.0807,-66.3443,00769
20053.33,12971.33,19866.0,18.1783,-65.868,00771
20023.75,17596.25,16574.25,18.4178,-65.8406,00772
23729.5,16044.0,22396.5,18.3583,-65.7208,00773
22529.0,15149.4,20573.2,18.2373,-65.8912,00777
21931.67,15170.33,19781.33,18.2475,-65.9754,00778
18470.0,12799.0,16756.0,18.0354,-66.5598,00780
18327.0,12304.0,19316.0,18.2314,-66.2137,00782
21072.5,15178.75,19737.25,18.3218,-66.314,00783
16858.5,9639.5,20025.25,17.9731,-66.126,00784
25595.75,18220.25,23720.25,18.1238,-65.8033,00791
24591.0,16215.0,24203.0,18.1428,-65.8424,00792
26368.5,18700.0,25240.5,18.1939,-66.3337,00794
28429.8,18778.2,28916.6,18.0271,-66.4963,00795
30222.25,17887.25,29637.25,18.4578,-66.1022,00901
0.0,0.0,0.0,18.4668,-66.0884,00906
67875.0,54958.0,71722.0,18.456,-66.0655,00907
36350.0,21947.5,38811.0,18.4483,-66.0706,00909
30753.0,20219.0,25908.0,18.4463,-66.0608,00912
12736.0,6884.0,23098.0,18.4483,-66.0485,00914
