,State_ab,City,Zip_Code,Lat,Lon,Mean,Median,Stdev
0,AL,Chickasaw,36611,30.77145,-88.079697,38773,30506,33101
1,AL,Louisville,36048,31.708515999999996,-85.611039,37725,19528,43789
2,AL,Columbiana,35051,33.191452000000005,-86.61561800000001,54606,31930,57348
3,AL,Satsuma,36572,30.874343,-88.009442,63919,52814,47707
4,AL,Dauphin Island,36528,30.250913,-88.17126800000001,77948,67225,54270
5,AL,Cullman,35057,34.045414,-86.88266999999999,50715,42643,35886
6,AL,East Brewton,36426,31.091440000000002,-87.05534499999999,33737,23610,28256
7,AL,Coosada,36020,32.544337,-86.336446,46319,40242,38941
8,AL,Eva,35621,34.326504,-86.76531800000001,57994,39591,47235
9,AL,Sylacauga,35151,33.168096999999996,-86.442774,54807,41712,51359
10,AL,Rainsville,35986,34.457329,-85.689447,47929,38947,44430
11,AL,Gadsden,35901,34.009563,-86.01564300000001,42251,28811,41397
12,AL,Georgiana,36033,31.639134000000002,-86.746762,27993,19757,27656
13,AL,Rockford,35136,33.060835,-86.05233299999999,31229,22745,27452
14,AL,Greensboro,36744,32.700967999999996,-87.5937,36439,21136,45043
15,AL,Guin,35563,33.944319,-87.870368,56934,39047,53934
16,AL,Hartford,36344,31.105348,-85.691225,41057,21608,45280
17,AL,Helena,35080,33.285635,-86.874488,93682,300000,55763
18,AL,Hokes Bluff,35903,33.989682,-85.862873,57202,46738,44401
19,AL,Opp,36467,31.238158000000002,-86.32510400000001,49699,34049,48287
20,AL,Attalla,35954,34.0372,-86.147175,51926,300000,28590
21,AL,Millport,35576,33.580890999999994,-87.986179,44572,34725,36562
22,AL,Section,35771,34.545063,-86.09335,56029,31635,62581
23,AL,Andalusia,36420,31.24398,-86.46015,51098,43794,32431
24,AL,Lockhart,36455,31.013011,-86.350273,45465,36849,45634
25,AL,Mcintosh,36553,31.264957,-88.028369,67392,48713,54529
26,AL,Maplesville,36750,32.788282,-86.876651,43767,30427,38304
27,AL,Fairfield,35064,33.455197,-86.92263299999999,48074,39817,37964
28,AL,Mobile,36606,30.668426,-88.100226,53330,38231,50855
29,AL,Moulton,35650,34.488302000000004,-87.28270699999999,42079,28180,39942
30,AL,Muscle Shoals,35661,34.743691999999996,-87.633774,60729,49109,48170
31,AL,Newbern,36765,32.591671999999996,-87.535614,32466,17389,31851
32,AL,Northport,35476,33.257975,-87.59647,62410,54115,47114
33,AL,Opelika,36801,32.660739,-85.37889,55199,40430,48856
34,AL,Panola,35477,32.946819,-88.262264,22603,6190,29054
35,AL,Ozark,36867,32.461669,-85.025021,86605,79218,52491
36,AL,Deatsville,36022,32.579539000000004,-86.454318,63066,57698,41175
37,AL,Prattville,36067,32.461908,-86.457385,53597,39054,39602
38,AL,Red Bay,35582,34.436097,-88.136515,39220,29055,33077
39,AL,Andalusia,36421,31.352396999999996,-86.544609,39218,25895,48015
40,AL,Cleveland,35049,33.992756,-86.500325,55127,44609,39231
41,AL,Satsuma,36572,30.854581,-88.10992900000001,59567,52275,43545
42,AL,Shelby,35143,33.106882,-86.585403,63758,45844,53244
43,AL,Smiths Station,36877,32.534662,-85.11134100000001,57098,45637,48651
44,AL,Phil Campbell,35581,34.39287,-87.729597,72297,300000,21067
45,AL,Sumiton,35148,33.749269,-87.046903,51907,39657,46146
46,AL,Tallassee,36078,32.532665,-85.891993,55849,50493,42845
47,AL,Mobile,36619,30.581533,-88.21278000000001,55230,47636,45298
48,AL,Tuscaloosa,35406,33.234404,-87.5283,55815,38843,54867
49,AL,Valley,36854,32.828953000000006,-85.169386,49554,39263,40901
50,AL,Vincent,35178,33.383145,-86.40254399999999,0,0,0
51,AL,Camp Hill,36850,32.730078000000006,-85.570999,71026,60438,56646
52,AL,Cullman,35057,34.23873,-86.964075,58314,49030,50015
53,AL,Woodland,36280,33.375627,-85.397439,48217,33446,42907
54,AL,Wadley,36276,33.091627,-85.527029,14741,11398,10903
55,AL,Aliceville,35442,33.123686,-88.159364,28347,20997,28311
56,AL,Odenville,35120,33.691576,-86.503766,242857,300000,25317
57,AL,Auburn,36830,32.607721999999995,-85.48954499999999,59694,38029,60946
58,AL,Bayou La Batre,36509,30.407586,-88.263271,50047,35147,43788
59,AL,Bessemer,35022,33.370789,-86.97159599999999,41239,29150,38565
60,AL,Boligee,35443,32.7681,-88.02857900000001,32777,12379,58584
61,AL,Brilliant,35548,34.025353,-87.769145,33353,25776,27149
62,AL,Calera,35040,33.122319,-86.745644,65576,64695,38729
63,AL,Carrollton,35447,33.261903000000004,-88.09507099999999,41709,27321,44007
64,AL,Moody,35004,33.5467968,-86.4306179,45862,32942,40674
65,AL,Odenville,35120,33.71717279999999,-86.3824822,62222,56867,43036
66,AL,Hoover,35242,33.4073199,-86.7204009,90262,71401,66042
67,AL,Birmingham,35242,33.4007267,-86.6925733,92018,74570,65160
68,AL,Chelsea,35043,33.3567902,-86.6754096,78399,71839,54844
69,AL,Maylene,35114,33.23323619999999,-86.8499076,85122,75896,58979
70,AL,Ohatchee,36271,33.768762100000004,-86.0372827,66000,54091,47663
71,AL,Panola,35477,32.863881,-88.2623312,34064,28981,28466
72,AL,Talladega,35160,33.4548311,-86.0680822,38882,27264,45128
73,AL,Sylacauga,35150,33.148514399999996,-86.2131565,40948,31044,36118
74,AL,Dadeville,36853,32.887890000000006,-85.69518670000001,48421,35722,44616
75,AL,Northport,35475,33.3231423,-87.56611529999999,77977,74807,59517
76,AL,Holt,35404,33.2435354,-87.4825444,37965,29413,34880
77,AL,Tuscaloosa,35401,33.2031136,-87.5527647,24931,12361,34393
78,AL,Tuscaloosa,35404,33.180726799999995,-87.4937929,60252,45803,55310
79,AL,Holt,35404,33.218458500000004,-87.495102,53301,40174,43882
80,AL,Nauvoo,35578,33.9445989,-87.46468759999999,40072,29226,37412
81,AL,Lanett,36863,32.8580358,-85.2066713,35951,23009,38779
82,AL,Millry,36558,31.625663300000003,-88.3415656,48623,40342,41443
83,AL,Arley,35541,34.096441799999994,-87.2271905,49046,36818,42393
84,AL,Prattville,36067,32.4740243,-86.45970329999999,58180,51927,40722
85,AL,Elmore,36025,32.4473511,-86.4768097,41464,35150,30951
86,AL,Marbury,36051,32.638522200000004,-86.51487309999999,59061,300000,36002
87,AL,Perdido,36562,31.110476199999997,-87.7868713,55216,43407,52450
88,AL,Bay Minette,36507,30.896961199999996,-87.7737368,36474,24377,31702
89,AL,Daphne,36526,30.6478335,-87.8437739,107603,97539,63498
90,AL,Loxley,36551,30.611477100000002,-87.7725676,50583,41882,37860
91,AL,Robertsdale,36567,30.5641292,-87.6870074,69996,300000,37937
92,AL,Clanton,35045,32.8695805,-86.6588881,56638,41768,48428
93,AL,Fairhope,36532,30.5408065,-87.89161800000001,67864,52050,64026
94,AL,Foley,36535,30.380275899999997,-87.7703177,71445,58784,51329
95,AL,Gulf Shores,36547,30.269628499999996,-87.637277,65583,300000,59906
96,AL,Foley,36535,30.3798842,-87.6650569,49212,300000,21308
97,AL,Pensacola,32506,30.4111645,-87.4511185,57395,46769,46123
98,AL,Clayton,36016,31.679443199999998,-85.5577196,56947,45615,47083
99,AL,Eufaula,36027,31.920409999999997,-85.17574090000001,43222,26304,47072
100,AL,Brent,35034,32.9533249,-87.00434659999999,67555,54574,61374
101,AL,Oneonta,35121,33.872392700000006,-86.45903220000001,34855,32407,21562
102,AL,Cleveland,35049,33.9974352,-86.544238,56385,49459,39388
103,AL,Gilbertown,36908,31.927592800000003,-88.33262950000001,53998,39956,48887
104,AL,Blountsville,35031,34.0336235,-86.63731779999999,47717,30660,46395
105,AL,Hayden,35079,33.9036637,-86.7813122,58684,47284,39926
106,AL,Union Springs,36089,32.082127299999996,-85.8274935,30765,25206,26768
107,AL,Greenville,36037,31.796828700000002,-86.6541421,30564,21911,23037
108,AL,Mckenzie,36456,31.575083000000003,-86.6086952,36333,27877,29844
109,AL,Anniston,36201,33.6421021,-85.8410233,27581,15743,28241
110,AL,Anniston,36207,33.634561700000006,-85.7901308,55336,41259,45442
111,AL,Oxford,36203,33.611132500000004,-85.87647270000001,54371,46871,46868
112,AL,Anniston,36201,33.613251500000004,-85.9253597,49509,48881,28239
113,AL,Jacksonville,36265,33.7661796,-85.7864612,46650,41809,29011
114,AL,Jackson,36545,31.357381699999998,-87.8407503,40352,30601,39286
115,AL,Jacksonville,36265,33.836968799999994,-85.7723498,33803,13029,35858
116,AL,Piedmont,36272,33.89526370000001,-85.5983598,35282,27332,29556
117,AL,Alexandria,36250,33.783775399999996,-85.9002899,72487,64034,45909
118,AL,Alexandria,36250,33.718819599999996,-85.9523544,0,0,0
119,AL,Lafayette,36862,32.866078200000004,-85.4616055,45966,300000,34017
120,AL,Lanett,36863,32.7766468,-85.27349170000001,38000,30130,30948
121,AL,Valley,36854,32.836280699999996,-85.17257629999999,44019,27057,50751
122,AL,Sand Rock,35983,34.1991534,-85.7578347,57239,43170,47243
123,AL,Spring Garden,36275,34.0861716,-85.5068892,51542,300000,60348
124,AL,Clanton,35045,32.8695805,-86.6588881,54388,37212,48573
125,AL,Jack,36346,31.537584399999997,-85.89840059999999,47550,35327,39518
126,AL,Jemison,35085,32.991045799999995,-86.8010803,40648,33316,32761
127,AL,Verbena,36091,32.7592425,-86.5260002,67265,46110,59481
128,AL,Butler,36904,32.065663300000004,-88.2128479,55952,40705,54619
129,AL,Thomasville,36784,31.792901300000004,-87.64251540000001,40451,36477,28494
130,AL,Robertsdale,36567,30.7200267,-87.6245437,64173,45281,57389
131,AL,Grove Hill,36451,31.617017399999998,-87.6979772,50714,38228,55570
132,AL,Jackson,36545,31.501161600000003,-87.87233379999999,40592,23781,37971
133,AL,Ashland,36251,33.178515600000004,-85.7815679,44628,35064,33198
134,AL,Heflin,36264,33.6989979,-85.57279720000001,31459,25199,32837
135,AL,Jack,36346,31.537584399999997,-85.89840059999999,51782,34974,43086
136,AL,Kinston,36453,31.2721909,-86.1506243,46792,30746,46019
137,AL,Enterprise,36330,31.3627415,-85.8358304,88951,84211,56279
138,AL,Enterprise,36330,31.3627415,-85.8358304,61449,49254,51536
139,AL,Sheffield,35660,34.7708294,-87.6799629,51659,42586,39138
140,AL,Tuscumbia,35674,34.740331899999994,-87.73377669999999,46357,300000,26728
141,AL,Muscle Shoals,35662,34.7242107,-87.6264192,72532,65185,55384
142,AL,Leighton,35646,34.774634000000006,-87.5053473,51460,38525,36757
143,AL,Tuscumbia,35674,34.6686652,-87.822804,44527,38139,36681
144,AL,Castleberry,36432,31.3411108,-87.0387457,31633,28982,24289
145,AL,Rockford,35136,32.9929287,-86.07387940000001,33042,23325,31099
146,AL,Andalusia,36421,31.442065500000002,-86.3998913,53559,300000,24136
147,AL,Andalusia,36421,31.344395799999997,-86.463852,58835,41801,49863
148,AL,Muscle Shoals,35661,34.7471222,-87.63984740000001,61868,56246,44831
149,AL,Opp,36467,31.357017100000004,-86.2401037,46327,31463,35525
150,AL,Opp,36467,31.1810184,-86.2787253,60141,43585,50751
151,AL,Luverne,36049,31.7244285,-86.3608435,40683,28886,35812
152,AL,Baileyton,35019,34.2616429,-86.5683185,61900,65528,43897
153,AL,Vinemont,35179,34.271500599999996,-86.8345066,53673,39630,49847
154,AL,Cullman,35055,34.1565069,-86.8940425,63213,300000,38851
155,AL,Cullman,35055,34.2012855,-86.8254882,37893,28850,37859
156,AL,Cullman,35055,34.117682,-86.7963608,44858,32959,41497
157,AL,Garden City,35070,33.9980493,-86.7870516,43726,28444,38686
158,AL,Ft Rucker,36362,31.4097368,-85.7458071,68310,59974,38238
159,AL,Evergreen,36401,31.4626914,-86.9984985,34206,16878,39063
160,AL,Ozark,36360,31.4833011,-85.64971390000001,65625,49674,60856
161,AL,Ozark,36360,31.4149425,-85.6413488,31645,31497,20477
