county,state,crime rate/100000
St. Louis city,MO,1791.995377
Crittenden County,AR,1754.914968
Alexander County,IL,1664.700485
Kenedy County,TX,1456.31068
De Soto Parish,LA,1447.40243
Baltimore city,MD,1419.5375689999998
Shelby County,TN,1315.0037519999998
Marlboro County,SC,1253.437132
Storey County,NV,1217.656012
District of Columbia,DC,1216.801325
Dillon County,SC,1165.583272
Scott County,MO,1163.145839
Philadelphia County,PA,1150.2963300000001
Pershing County,NV,1148.756725
Greenwood County,SC,1140.226324
Madison County,TN,1138.4238300000002
Davidson County,TN,1129.513728
Marion County,IN,1083.5081189999999
Wayne County,MI,1065.188284
Jackson County,MO,1026.623686
Northwest Arctic Borough,AK,1014.964216
Pemiscot County,MO,998.7095326
Iberville Parish,LA,974.0162436
Pulaski County,AR,959.9165822999998
Jefferson County,AR,959.1343197999998
Miller County,AR,956.1771347000001
Muskogee County,OK,954.4400666000001
Barnwell County,SC,953.9310095000001
Tangipahoa Parish,LA,952.8593755
Marion County,SC,941.6313295
Dillingham Census Area,AK,938.1237525
Dougherty County,GA,930.4176661
Carter County,OK,930.0694973999999
Genesee County,MI,922.7783983999999
Macon County,AL,919.3417310000001
Milwaukee County,WI,912.6349471000001
Richland County,SC,911.4452882000002
Grundy County,TN,911.2461105000001
Greene County,AL,903.4766697000001
Rock County,MN,892.8571429
San Joaquin County,CA,887.1644385
Pottawattamie County,IA,873.5225606
Nolan County,TX,871.1844117999999
Kodiak Island Borough,AK,856.0311284
Winnebago County,IL,854.9331535
Suffolk County,MA,831.2342903
Saginaw County,MI,828.830479
Dallas County,AL,828.6503477000001
Fulton County,GA,826.1767583
Anchorage Municipality,AK,824.7217146
Madison County,FL,822.2981632
Phillips County,AR,818.6675817
Sangamon County,IL,817.9969369
Haywood County,TN,812.1158911
Lucas County,OH,810.9662621
Robeson County,NC,809.8427036
Meade County,KS,805.8945428999999
Escambia County,FL,798.51676
Jefferson County,AL,798.3574913
Nicholas County,WV,793.3756981
Franklin County,FL,793.2402137999999
St. Clair County,IL,782.1542957
Orleans Parish,LA,782.1184796
Ector County,TX,781.9089826000001
Avoyelles Parish,LA,777.2585293
Rapides Parish,LA,773.7920330000001
Sumter County,SC,767.644257
Comanche County,OK,766.7864603999999
Mississippi County,AR,763.9897241
Colleton County,SC,762.1467132
Modoc County,CA,754.3456871000001
Alameda County,CA,753.6935735000001
Sumter County,GA,752.455044
Darlington County,SC,746.3016117999999
Red River Parish,LA,742.0733078
Lubbock County,TX,740.6920961
Socorro County,NM,739.3084622
Duval County,TX,738.8316151
Bernalillo County,NM,738.4818924
Marion County,TX,732.7796776
Lee County,SC,730.3646372999999
Shasta County,CA,725.2206951000001
Laurens County,SC,724.7580365
North Slope Borough,AK,722.6925459
Hinds County,MS,721.5219335
Cibola County,NM,720.6877628999999
Tulsa County,OK,719.1412721
Putnam County,FL,717.8582747
Jefferson County,TX,710.8948399
Ohio County,WV,706.6572141
San Francisco County,CA,701.4217103999999
Bamberg County,SC,699.9351912000001
Merced County,CA,696.3544912000001
Harris County,TX,696.1038338
Jim Wells County,TX,695.7773512
Oklahoma County,OK,694.8738489
McKinley County,NM,694.3307687999999
Mississippi County,MO,693.1802269
Alpine County,CA,690.2502157
Calhoun County,GA,689.8666258
Dyer County,TN,688.2474551
Clark County,NV,685.1530769999999
Guadalupe County,NM,681.1689739
San Juan County,NM,675.0828044
Fairfield County,SC,675.0616643
McDonald County,MO,673.8186009
Taylor County,FL,673.754211
Wayne County,GA,668.2847357999999
East Baton Rouge Parish,LA,667.0754469
Leon County,FL,664.1948589
Lander County,NV,663.1299735
Orange County,FL,662.6310837
Leflore County,MS,661.2459265
Essex County,NJ,659.9836619
Peach County,GA,658.9175982999999
Burke County,GA,658.7270427
Hamilton County,TN,658.496643
Miami-Dade County,FL,656.0124347999999
Columbia County,FL,654.3979391
Crockett County,TN,651.0862861
Lenoir County,NC,650.100146
Hempstead County,AR,649.6395835
Hutchinson County,TX,646.2257665
Richmond city,VA,644.9835135
Jefferson Davis County,MS,644.4593237
Conecuh County,AL,644.0599053
Morehouse Parish,LA,639.3909155
Early County,GA,635.5530259999999
Henderson County,TN,634.6263548
Richmond County,NY,634.123325
New York County,NY,634.0093435
Jefferson County,IL,633.9923403
Bronx County,NY,632.0428157
Queens County,NY,630.3962024
Kings County,NY,630.2492642000001
Warren County,GA,629.7229219
Nash County,NC,628.8580653
Lauderdale County,TN,626.0118726
Cocke County,TN,625.7222582
Bowie County,TX,622.5464503
Hampton County,SC,622.3049784
