year,variable,value,zip code
2017,percent_bachelors_degree_or_higher,28,76884
2017,percent_bachelors_degree_or_higher,25.8,78884
2017,percent_bachelors_degree_or_higher,53.3,06410
2017,percent_bachelors_degree_or_higher,0,44850
2017,percent_bachelors_degree_or_higher,24.8,06024
2017,percent_bachelors_degree_or_higher,11.8,27025
2017,percent_bachelors_degree_or_higher,16.3,62892
2017,percent_bachelors_degree_or_higher,14,70556
2017,percent_bachelors_degree_or_higher,12.3,64483
2017,percent_bachelors_degree_or_higher,10.9,13471
2017,percent_bachelors_degree_or_higher,19.6,97204
2017,percent_bachelors_degree_or_higher,64.2,01984
2017,percent_bachelors_degree_or_higher,32.5,18625
2017,percent_bachelors_degree_or_higher,33.2,33036
2017,percent_bachelors_degree_or_higher,50.2,88011
2017,percent_bachelors_degree_or_higher,27.6,13490
2017,percent_bachelors_degree_or_higher,22.2,78239
2017,percent_bachelors_degree_or_higher,20.6,37020
2017,percent_bachelors_degree_or_higher,11,85321
2017,percent_bachelors_degree_or_higher,19.7,23701
2017,percent_bachelors_degree_or_higher,23.3,97429
2017,percent_bachelors_degree_or_higher,23.8,78501
2017,percent_bachelors_degree_or_higher,12.3,28431
2017,percent_bachelors_degree_or_higher,7.2,74546
2017,percent_bachelors_degree_or_higher,51.9,85622
2017,percent_bachelors_degree_or_higher,28.8,52142
2017,percent_bachelors_degree_or_higher,15.8,77099
2017,percent_bachelors_degree_or_higher,13.1,34449
2017,percent_bachelors_degree_or_higher,48,04103
2017,percent_bachelors_degree_or_higher,41.5,89052
2017,percent_bachelors_degree_or_higher,8.3,64738
2017,percent_bachelors_degree_or_higher,26.9,61517
2017,percent_bachelors_degree_or_higher,3.4,62921
2017,percent_bachelors_degree_or_higher,7.1,45695
2017,percent_bachelors_degree_or_higher,15.9,71275
2017,percent_bachelors_degree_or_higher,11.5,43318
2017,percent_bachelors_degree_or_higher,13.9,54411
2017,percent_bachelors_degree_or_higher,8.9,62807
2017,percent_bachelors_degree_or_higher,21.1,28556
2017,percent_bachelors_degree_or_higher,13.2,48809
2017,percent_bachelors_degree_or_higher,49.4,60136
2017,percent_bachelors_degree_or_higher,20.1,32810
2017,percent_bachelors_degree_or_higher,15.3,68710
2017,percent_bachelors_degree_or_higher,11.4,23922
2017,percent_bachelors_degree_or_higher,22.7,70507
2017,percent_bachelors_degree_or_higher,24.6,60018
2017,percent_bachelors_degree_or_higher,100,84728
2017,percent_bachelors_degree_or_higher,26.6,51106
2017,percent_bachelors_degree_or_higher,1.5,66024
2017,percent_bachelors_degree_or_higher,40.9,37209
2017,percent_bachelors_degree_or_higher,13.2,85746
2017,percent_bachelors_degree_or_higher,13.4,23023
2017,percent_bachelors_degree_or_higher,12.8,62471
2017,percent_bachelors_degree_or_higher,6.6,65258
2017,percent_bachelors_degree_or_higher,16.5,44446
2017,percent_bachelors_degree_or_higher,13.2,60472
2017,percent_bachelors_degree_or_higher,11.2,97874
2017,percent_bachelors_degree_or_higher,54.6,77478
2017,percent_bachelors_degree_or_higher,24.7,51035
2017,percent_bachelors_degree_or_higher,55.9,69365
2017,percent_bachelors_degree_or_higher,38.3,91748
2017,percent_bachelors_degree_or_higher,0,61541
2017,percent_bachelors_degree_or_higher,8.9,21802
2017,percent_bachelors_degree_or_higher,5.1,50521
2017,percent_bachelors_degree_or_higher,36.8,92352
2017,percent_bachelors_degree_or_higher,42.7,01028
2017,percent_bachelors_degree_or_higher,22.6,56324
2017,percent_bachelors_degree_or_higher,45.6,55427
2017,percent_bachelors_degree_or_higher,34.7,31405
2017,percent_bachelors_degree_or_higher,28,56723
2017,percent_bachelors_degree_or_higher,18.2,57026
2017,percent_bachelors_degree_or_higher,22.4,59212
2017,percent_bachelors_degree_or_higher,34.2,12174
2017,percent_bachelors_degree_or_higher,30.8,58311
2017,percent_bachelors_degree_or_higher,21.3,77365
2017,percent_bachelors_degree_or_higher,55.7,39211
2017,percent_bachelors_degree_or_higher,26.4,29635
2017,percent_bachelors_degree_or_higher,19.1,65334
2017,percent_bachelors_degree_or_higher,21.8,23024
2017,percent_bachelors_degree_or_higher,27.6,03910
2017,percent_bachelors_degree_or_higher,4.7,49611
2017,percent_bachelors_degree_or_higher,22.8,73541
2017,percent_bachelors_degree_or_higher,31,01832
2017,percent_bachelors_degree_or_higher,13,22922
2017,percent_bachelors_degree_or_higher,29.2,45766
2017,percent_bachelors_degree_or_higher,40,55118
2017,percent_bachelors_degree_or_higher,4.5,35477
2017,percent_bachelors_degree_or_higher,21.4,72326
2017,percent_bachelors_degree_or_higher,19,52054
2017,percent_bachelors_degree_or_higher,32,53531
2017,percent_bachelors_degree_or_higher,25,03819
2017,percent_bachelors_degree_or_higher,24.1,76940
2017,percent_bachelors_degree_or_higher,28.1,16882
2017,percent_bachelors_degree_or_higher,30.6,13029
2017,percent_bachelors_degree_or_higher,23.6,80810
2017,percent_bachelors_degree_or_higher,29.4,56467
2017,percent_bachelors_degree_or_higher,11.5,38118
2017,percent_bachelors_degree_or_higher,28.2,46807
2017,percent_bachelors_degree_or_higher,39.5,79124
2017,percent_bachelors_degree_or_higher,12.9,24442
2017,percent_bachelors_degree_or_higher,26,04605
2017,percent_bachelors_degree_or_higher,33.6,64434
2017,percent_bachelors_degree_or_higher,35.2,19070
2017,percent_bachelors_degree_or_higher,11.4,75691
2017,percent_bachelors_degree_or_higher,60.9,55346
2017,percent_bachelors_degree_or_higher,25.3,85205
2017,percent_bachelors_degree_or_higher,16.2,12996
2017,percent_bachelors_degree_or_higher,15.3,64475
2017,percent_bachelors_degree_or_higher,69,04267
2017,percent_bachelors_degree_or_higher,24.8,67701
2017,percent_bachelors_degree_or_higher,14.2,17721
2017,percent_bachelors_degree_or_higher,14.4,52157
2017,percent_bachelors_degree_or_higher,11.5,54805
2017,percent_bachelors_degree_or_higher,18.2,38730
2017,percent_bachelors_degree_or_higher,9.3,37813
2017,percent_bachelors_degree_or_higher,2.3,86535
2017,percent_bachelors_degree_or_higher,20.7,23442
2017,percent_bachelors_degree_or_higher,13.9,74435
2017,percent_bachelors_degree_or_higher,27.7,11237
2017,percent_bachelors_degree_or_higher,17.7,15697
2017,percent_bachelors_degree_or_higher,15.1,39654
2017,percent_bachelors_degree_or_higher,48.8,02852
2017,percent_bachelors_degree_or_higher,6.9,13665
2017,percent_bachelors_degree_or_higher,14.9,16255
2017,percent_bachelors_degree_or_higher,33.9,61880
2017,percent_bachelors_degree_or_higher,8,41544
2017,percent_bachelors_degree_or_higher,27.8,11418
2017,percent_bachelors_degree_or_higher,20.2,53582
2017,percent_bachelors_degree_or_higher,17.5,55338
2017,percent_bachelors_degree_or_higher,8,24277
2017,percent_bachelors_degree_or_higher,27.7,77801
2017,percent_bachelors_degree_or_higher,11,38740
2017,percent_bachelors_degree_or_higher,9,87034
2017,percent_bachelors_degree_or_higher,28.4,12973
2017,percent_bachelors_degree_or_higher,22,06604
2017,percent_bachelors_degree_or_higher,13.4,45657
2017,percent_bachelors_degree_or_higher,33.9,96143
2017,percent_bachelors_degree_or_higher,20.6,79234
2017,percent_bachelors_degree_or_higher,12.9,68352
2017,percent_bachelors_degree_or_higher,23,33309
2017,percent_bachelors_degree_or_higher,10.4,68932
2017,percent_bachelors_degree_or_higher,27.2,97011
2017,percent_bachelors_degree_or_higher,23.1,67626
2017,percent_bachelors_degree_or_higher,17.8,52749
2017,percent_bachelors_degree_or_higher,7.3,16879
2017,percent_bachelors_degree_or_higher,39.2,19809
2017,percent_bachelors_degree_or_higher,"-666,666,666",10199
2017,percent_bachelors_degree_or_higher,15.6,29488
2017,percent_bachelors_degree_or_higher,2.4,63071
2017,percent_bachelors_degree_or_higher,14.2,14879
2017,percent_bachelors_degree_or_higher,4.3,88028
2017,percent_bachelors_degree_or_higher,15.4,28713
2017,percent_bachelors_degree_or_higher,0,41612
2017,percent_bachelors_degree_or_higher,21.8,49242
2017,percent_bachelors_degree_or_higher,79.2,02467
2017,percent_bachelors_degree_or_higher,7.3,62445
2017,percent_bachelors_degree_or_higher,57.4,33647
2017,percent_bachelors_degree_or_higher,34.7,37733
2017,percent_bachelors_degree_or_higher,16.7,52583
2017,percent_bachelors_degree_or_higher,9.6,78516
2017,percent_bachelors_degree_or_higher,30,08755
2017,percent_bachelors_degree_or_higher,0,21862
2017,percent_bachelors_degree_or_higher,14.7,54536
2017,percent_bachelors_degree_or_higher,17.7,39540
2017,percent_bachelors_degree_or_higher,0,77440
2017,percent_bachelors_degree_or_higher,18.8,54853
2017,percent_bachelors_degree_or_higher,61,08057
2017,percent_bachelors_degree_or_higher,15.2,47170
2017,percent_bachelors_degree_or_higher,21.2,19512
2017,percent_bachelors_degree_or_higher,16.7,15447
2017,percent_bachelors_degree_or_higher,49.9,21108
2017,percent_bachelors_degree_or_higher,21.8,78411
2017,percent_bachelors_degree_or_higher,52.6,04431
2017,percent_bachelors_degree_or_higher,59.8,03844
2017,percent_bachelors_degree_or_higher,4.5,57245
2017,percent_bachelors_degree_or_higher,2.2,95385
2017,percent_bachelors_degree_or_higher,13.5,55354
2017,percent_bachelors_degree_or_higher,42.5,37206
2017,percent_bachelors_degree_or_higher,34.1,28806
2017,percent_bachelors_degree_or_higher,13.4,68642
2017,percent_bachelors_degree_or_higher,27.7,00725
2017,percent_bachelors_degree_or_higher,20.2,68740
2017,percent_bachelors_degree_or_higher,7.9,96860
2017,percent_bachelors_degree_or_higher,15.6,72117
2017,percent_bachelors_degree_or_higher,34.3,45223
2017,percent_bachelors_degree_or_higher,20,58233
2017,percent_bachelors_degree_or_higher,43.1,03063
2017,percent_bachelors_degree_or_higher,15.1,61341
2017,percent_bachelors_degree_or_higher,8.8,46320
2017,percent_bachelors_degree_or_higher,12.6,79703
2017,percent_bachelors_degree_or_higher,59.5,19002
2017,percent_bachelors_degree_or_higher,19.8,13355
2017,percent_bachelors_degree_or_higher,51.1,11770
2017,percent_bachelors_degree_or_higher,31.1,68037
2017,percent_bachelors_degree_or_higher,16.4,36029
2017,percent_bachelors_degree_or_higher,15,79018
2017,percent_bachelors_degree_or_higher,11.2,79330
2017,percent_bachelors_degree_or_higher,16.5,38658
2017,percent_bachelors_degree_or_higher,20.4,84063
2017,percent_bachelors_degree_or_higher,41.4,48380
2017,percent_bachelors_degree_or_higher,16,62868
2017,percent_bachelors_degree_or_higher,6.2,30631
2017,percent_bachelors_degree_or_higher,12,92551
2017,percent_bachelors_degree_or_higher,8.4,77086
2017,percent_bachelors_degree_or_higher,5.5,45819
