number_of_fastfood,zip_code1,zip_code,county,state
1,01923-3619,1923,Essex County,MA
1,02111-1318,2111,Suffolk County,MA
1,02916-2020,2916,Providence County,RI
1,04938-6124,4938,Franklin County,ME
1,05301-9049,5301,Windham County,VT
1,06492-2410,6492,New Haven County,CT
1,07111-4718,7111,Essex County,NJ
2,10001,10001,New York County,NY
3,10002,10002,New York County,NY
2,10003,10003,New York County,NY
1,10005,10005,New York County,NY
1,10006,10006,New York County,NY
1,10007,10007,New York County,NY
1,10009,10009,New York County,NY
2,10010,10010,New York County,NY
2,10011,10011,New York County,NY
1,10014,10014,New York County,NY
1,10016,10016,New York County,NY
1,10018,10018,New York County,NY
1,10019,10019,New York County,NY
1,10022,10022,New York County,NY
2,10025,10025,New York County,NY
2,10027,10027,New York County,NY
2,10029,10029,New York County,NY
1,10030,10030,New York County,NY
1,10033,10033,New York County,NY
1,10034,10034,New York County,NY
3,10036,10036,New York County,NY
2,10038,10038,New York County,NY
1,10039,10039,New York County,NY
1,10128,10128,New York County,NY
2,1020,1020,Hampden County,MA
1,1027,1027,Hampshire County,MA
1,10306,10306,Richmond County,NY
1,10310,10310,Richmond County,NY
1,10314,10314,Richmond County,NY
1,1040,1040,Hampden County,MA
2,10451,10451,Bronx County,NY
1,10452,10452,Bronx County,NY
2,10455,10455,Bronx County,NY
1,10456,10456,Bronx County,NY
3,10457,10457,Bronx County,NY
1,10458,10458,Bronx County,NY
1,10460,10460,Bronx County,NY
3,10461,10461,Bronx County,NY
2,10462,10462,Bronx County,NY
1,10463,10463,Bronx County,NY
1,10465,10465,Bronx County,NY
1,10466,10466,Bronx County,NY
1,10467,10467,Bronx County,NY
1,10469,10469,Bronx County,NY
3,10475,10475,Bronx County,NY
1,10541,10541,Putnam County,NY
1,10550,10550,Westchester County,NY
1,10567,10567,Westchester County,NY
1,10573,10573,Westchester County,NY
1,1060,1060,Hampshire County,MA
1,1073,1073,Hampshire County,MA
1,10801,10801,Westchester County,NY
1,10901,10901,Rockland County,NY
1,10940,10940,Orange County,NY
1,10990,10990,Orange County,NY
1,1104,1104,Hampden County,MA
1,11050,11050,Nassau County,NY
1,1106,1106,Hampden County,MA
1,1109,1109,Hampden County,MA
1,11103,11103,Queens County,NY
3,11201,11201,Kings County,NY
2,11203,11203,Kings County,NY
1,11205,11205,Kings County,NY
1,11207,11207,Kings County,NY
3,11208,11208,Kings County,NY
1,11214,11214,Kings County,NY
1,11216,11216,Kings County,NY
1,11220,11220,Kings County,NY
1,11222,11222,Kings County,NY
1,11223,11223,Kings County,NY
1,11233,11233,Kings County,NY
1,11235,11235,Kings County,NY
3,11236,11236,Kings County,NY
1,11237,11237,Kings County,NY
1,11360,11360,Queens County,NY
1,11361,11361,Queens County,NY
1,11364,11364,Queens County,NY
1,11365,11365,Queens County,NY
1,11367,11367,Queens County,NY
2,11373,11373,Queens County,NY
1,11374,11374,Queens County,NY
1,11379,11379,Queens County,NY
1,11415,11415,Queens County,NY
1,11418,11418,Queens County,NY
1,11420,11420,Queens County,NY
1,11427,11427,Queens County,NY
2,11433,11433,Queens County,NY
1,11530,11530,Nassau County,NY
1,11550,11550,Nassau County,NY
1,11554,11554,Nassau County,NY
1,11572,11572,Nassau County,NY
1,11580,11580,Nassau County,NY
1,11694,11694,Queens County,NY
1,11701,11701,Suffolk County,NY
1,11722,11722,Suffolk County,NY
1,11726,11726,Suffolk County,NY
1,11743,11743,Suffolk County,NY
1,11756,11756,Nassau County,NY
1,11772,11772,Suffolk County,NY
1,11776,11776,Suffolk County,NY
1,11780,11780,Suffolk County,NY
1,11784,11784,Suffolk County,NY
1,11787,11787,Suffolk County,NY
1,11792,11792,Suffolk County,NY
1,11798,11798,Suffolk County,NY
1,11801,11801,Nassau County,NY
1,11967,11967,Suffolk County,NY
2,1201,1201,Berkshire County,MA
2,12043,12043,Schoharie County,NY
1,12110,12110,Albany County,NY
1,12118,12118,Saratoga County,NY
1,12130,12130,Columbia County,NY
1,12180,12180,Rensselaer County,NY
1,12182,12182,Rensselaer County,NY
3,12203,12203,Albany County,NY
1,12205,12205,Albany County,NY
1,1230,1230,Berkshire County,MA
2,1238,1238,Berkshire County,MA
1,1240,1240,Berkshire County,MA
2,12401,12401,Ulster County,NY
1,12413,12413,Greene County,NY
1,12453,12453,Ulster County,NY
1,1247,1247,Berkshire County,MA
1,12524,12524,Dutchess County,NY
1,12538,12538,Dutchess County,NY
1,12546,12546,Dutchess County,NY
2,12553,12553,Orange County,NY
1,12701,12701,Sullivan County,NY
1,12754,12754,Sullivan County,NY
1,12801,12801,Warren County,NY
1,12834,12834,Washington County,NY
1,12866,12866,Saratoga County,NY
7,12901,12901,Clinton County,NY
1,12953,12953,Franklin County,NY
1,12983,12983,Franklin County,NY
2,13021,13021,Cayuga County,NY
1,13027,13027,Onondaga County,NY
1,13031,13031,Onondaga County,NY
1,13032,13032,Madison County,NY
1,13039,13039,Onondaga County,NY
1,13045,13045,Cortland County,NY
1,13069,13069,Oswego County,NY
1,13090,13090,Onondaga County,NY
2,13126,13126,Oswego County,NY
1,13148,13148,Seneca County,NY
1,13208,13208,Onondaga County,NY
1,13210,13210,Onondaga County,NY
2,13212,13212,Onondaga County,NY
1,13219,13219,Onondaga County,NY
1,13346,13346,Madison County,NY
1,13365,13365,Herkimer County,NY
5,13421,13421,Madison County,NY
6,13440,13440,Oneida County,NY
1,13490,13490,Oneida County,NY
1,13492,13492,Oneida County,NY
1,13501,13501,Oneida County,NY
3,13502,13502,Oneida County,NY
2,13601,13601,Jefferson County,NY
1,13617,13617,St. Lawrence County,NY
1,13637,13637,Jefferson County,NY
3,13662,13662,St. Lawrence County,NY
1,13669,13669,St. Lawrence County,NY
2,13676,13676,St. Lawrence County,NY
1,13753,13753,Delaware County,NY
2,13760,13760,Broome County,NY
1,13790,13790,Broome County,NY
1,13815,13815,Chenango County,NY
6,13820,13820,Otsego County,NY
3,13827,13827,Tioga County,NY
2,13850,13850,Broome County,NY
3,13904,13904,Broome County,NY
1,13905,13905,Broome County,NY
2,14043,14043,Erie County,NY
2,14075,14075,Erie County,NY
1,14094,14094,Niagara County,NY
1,14141,14141,Erie County,NY
1,14150,14150,Erie County,NY
2,1420,1420,Worcester County,MA
1,14207,14207,Erie County,NY
1,14221,14221,Erie County,NY
1,14304,14304,Niagara County,NY
3,1432,1432,Middlesex County,MA
1,14414,14414,Livingston County,NY
2,14420,14420,Monroe County,NY
1,14445,14445,Monroe County,NY
1,14450,14450,Monroe County,NY
1,14456,14456,Ontario County,NY
2,1453,1453,Worcester County,MA
2,14564,14564,Ontario County,NY
1,14580,14580,Monroe County,NY
1,14606,14606,Monroe County,NY
1,14607,14607,Monroe County,NY
1,14616,14616,Monroe County,NY
1,14620,14620,Monroe County,NY
1,14621,14621,Monroe County,NY
1,14626,14626,Monroe County,NY
1,14701,14701,Chautauqua County,NY
1,14760,14760,Cattaraugus County,NY
2,14779,14779,Cattaraugus County,NY
1,14843,14843,Steuben County,NY
3,14850,14850,Tompkins County,NY
2,14870,14870,Steuben County,NY
1,14891,14891,Schuyler County,NY
1,14903,14903,Chemung County,NY
1,15005,15005,Beaver County,PA
1,1501,1501,Worcester County,MA
1,15012,15012,Westmoreland County,PA
1,15017,15017,Allegheny County,PA
1,15034,15034,Allegheny County,PA
1,15068,15068,Westmoreland County,PA
1,15120,15120,Allegheny County,PA
1,15122,15122,Allegheny County,PA
1,15132,15132,Allegheny County,PA
2,15137,15137,Allegheny County,PA
1,15222-1811,15222,Allegheny County,PA
1,15224,15224,Allegheny County,PA
1,15227,15227,Allegheny County,PA
4,15235,15235,Allegheny County,PA
1,15236,15236,Allegheny County,PA
1,15237,15237,Allegheny County,PA
1,15238,15238,Allegheny County,PA
1,15301,15301,Washington County,PA
1,15370,15370,Greene County,PA
1,1540,1540,Worcester County,MA
1,15425,15425,Fayette County,PA
2,1550,1550,Worcester County,MA
4,15501,15501,Somerset County,PA
1,15533,15533,Bedford County,PA
3,15601,15601,Westmoreland County,PA
2,15642,15642,Westmoreland County,PA
1,15650,15650,Westmoreland County,PA
1,15656,15656,Westmoreland County,PA
1,15656-9420,15656,Westmoreland County,PA
1,15668,15668,Westmoreland County,PA
1,15672,15672,Westmoreland County,PA
1,15701,15701,Indiana County,PA
1,1581,1581,Worcester County,MA
2,15825,15825,Jefferson County,PA
1,15905,15905,Cambria County,PA
1,1601,1601,#N/A,#N/A
1,1604,1604,Worcester County,MA
1,16066,16066,Butler County,PA
2,16127,16127,Mercer County,PA
1,16148,16148,Mercer County,PA
8,16335,16335,Crawford County,PA
1,16401-8211,16401,Erie County,PA
1,16415,16415,Erie County,PA
1,16509,16509,Erie County,PA
2,16652,16652,Huntingdon County,PA
2,16823,16823,Centre County,PA
1,16830,16830,Clearfield County,PA
1,16866,16866,Centre County,PA
3,16933,16933,Tioga County,PA
1,1701,1701,Middlesex County,MA
3,17013,17013,Cumberland County,PA
1,17022,17022,Lancaster County,PA
2,17025,17025,Cumberland County,PA
1,17038,17038,Lebanon County,PA
2,17042,17042,Lebanon County,PA
3,17043,17043,Cumberland County,PA
3,17044,17044,Mifflin County,PA
5,17050,17050,Cumberland County,PA
1,17055,17055,Cumberland County,PA
1,17067,17067,Lebanon County,PA
1,17101,17101,Dauphin County,PA
1,17109,17109,Dauphin County,PA
1,17110,17110,Dauphin County,PA
1,1720,1720,Middlesex County,MA
9,17201,17201,Franklin County,PA
2,17202,17202,Franklin County,PA
2,17225,17225,Franklin County,PA
1,17236,17236,Franklin County,PA
3,17257,17257,Cumberland County,PA
2,17268,17268,Franklin County,PA
1,17319,17319,York County,PA
2,17325,17325,Adams County,PA
2,17331,17331,York County,PA
1,17340,17340,Adams County,PA
1,17401,17401,York County,PA
4,17402,17402,York County,PA
2,17404,17404,York County,PA
1,17512,17512,Lancaster County,PA
1,1752,1752,Middlesex County,MA
1,17522,17522,Lancaster County,PA
1,17545,17545,Lancaster County,PA
1,17552,17552,Lancaster County,PA
1,17566,17566,Lancaster County,PA
1,17566-9116,17566,Lancaster County,PA
1,1757,1757,Worcester County,MA
2,17602,17602,Lancaster County,PA
8,17701,17701,Lycoming County,PA
1,17702,17702,Lycoming County,PA
1,17740,17740,Lycoming County,PA
1,17754,17754,Lycoming County,PA
2,17756,17756,Lycoming County,PA
1,17801,17801,Northumberland County,PA
8,17815,17815,Columbia County,PA
2,17821,17821,Montour County,PA
1,17824,17824,Northumberland County,PA
1,17831,17831,#N/A,#N/A
5,17837,17837,Union County,PA
1,17844,17844,Union County,PA
1,17847,17847,Northumberland County,PA
1,17866,17866,Northumberland County,PA
1,17870,17870,Snyder County,PA
1,17872,17872,Northumberland County,PA
1,17876,17876,Snyder County,PA
1,17901,17901,Schuylkill County,PA
1,17931,17931,Schuylkill County,PA
1,17963,17963,Schuylkill County,PA
1,17976,17976,Schuylkill County,PA
1,1801,1801,Middlesex County,MA
2,18015,18015,Northampton County,PA
1,18017,18017,Northampton County,PA
2,1803,1803,Middlesex County,MA
1,18032,18032,Lehigh County,PA
1,18036,18036,Lehigh County,PA
1,18049,18049,Lehigh County,PA
1,18052,18052,Lehigh County,PA
1,18069,18069,Lehigh County,PA
1,18073,18073,Montgomery County,PA
1,18078,18078,Lehigh County,PA
1,18087,18087,Lehigh County,PA
1,18103,18103,Lehigh County,PA
1,18109,18109,Lehigh County,PA
4,18202,18202,Luzerne County,PA
1,1821,1821,Middlesex County,MA
1,18229,18229,Carbon County,PA
1,1824,1824,Middlesex County,MA
1,18301,18301,Monroe County,PA
1,18321,18321,Monroe County,PA
1,18326,18326,Monroe County,PA
1,18336,18336,Pike County,PA
1,18337,18337,Pike County,PA
2,18360,18360,Monroe County,PA
1,18407,18407,Lackawanna County,PA
2,18411,18411,Lackawanna County,PA
1,18428,18428,Pike County,PA
5,1843,1843,Essex County,MA
1,18436,18436,Wayne County,PA
1,1844,1844,Essex County,MA
1,18503,18503,Lackawanna County,PA
1,18508,18508,Lackawanna County,PA
1,1851,1851,Middlesex County,MA
1,1854,1854,Middlesex County,MA
1,18612,18612,Luzerne County,PA
1,1862,1862,Middlesex County,MA
4,18640,18640,Luzerne County,PA
1,18640-3907,18640,Luzerne County,PA
1,18644,18644,Luzerne County,PA
2,18657,18657,Wyoming County,PA
1,18661,18661,Luzerne County,PA
1,18701,18701,Luzerne County,PA
5,18702,18702,Luzerne County,PA
5,18704,18704,Luzerne County,PA
1,18705,18705,Luzerne County,PA
2,18706,18706,Luzerne County,PA
2,18707,18707,Luzerne County,PA
1,18708,18708,Luzerne County,PA
2,1876,1876,Middlesex County,MA
2,1886,1886,Middlesex County,MA
1,1890,1890,Middlesex County,MA
1,18914,18914,Bucks County,PA
1,18929,18929,Bucks County,PA
1,18951,18951,Bucks County,PA
2,19020,19020,Bucks County,PA
1,19025,19025,Montgomery County,PA
1,19047,19047,Bucks County,PA
1,19063-3411,19063,Delaware County,PA
