number_of_fastfood,zip_code
1,01923
1,02111
1,02916
1,04938
1,05301
1,06492
1,07111
2,10001
3,10002
2,10003
1,10005
1,10006
1,10007
1,10009
2,10010
2,10011
1,10014
1,10016
1,10018
1,10019
1,10022
2,10025
2,10027
2,10029
1,10030
1,10033
1,10034
3,10036
2,10038
1,10039
1,10128
2,1020
1,1027
1,10306
1,10310
1,10314
1,1040
2,10451
1,10452
2,10455
1,10456
3,10457
1,10458
1,10460
3,10461
2,10462
1,10463
1,10465
1,10466
1,10467
1,10469
3,10475
1,10541
1,10550
1,10567
1,10573
1,1060
1,1073
1,10801
1,10901
1,10940
1,10990
1,1104
1,11050
1,1106
1,1109
1,11103
3,11201
2,11203
1,11205
1,11207
3,11208
1,11214
1,11216
1,11220
1,11222
1,11223
1,11233
1,11235
3,11236
1,11237
1,11360
1,11361
1,11364
1,11365
1,11367
2,11373
1,11374
1,11379
1,11415
1,11418
1,11420
1,11427
2,11433
1,11530
1,11550
1,11554
1,11572
1,11580
1,11694
1,11701
1,11722
1,11726
1,11743
1,11756
1,11772
1,11776
1,11780
1,11784
1,11787
1,11792
1,11798
1,11801
1,11967
2,1201
2,12043
1,12110
1,12118
1,12130
1,12180
1,12182
3,12203
1,12205
1,1230
2,1238
1,1240
2,12401
1,12413
1,12453
1,1247
1,12524
1,12538
1,12546
2,12553
1,12701
1,12754
1,12801
1,12834
1,12866
7,12901
1,12953
1,12983
2,13021
1,13027
1,13031
1,13032
1,13039
1,13045
1,13069
1,13090
2,13126
1,13148
1,13208
1,13210
2,13212
1,13219
1,13346
1,13365
5,13421
6,13440
1,13490
1,13492
1,13501
3,13502
2,13601
1,13617
1,13637
3,13662
1,13669
2,13676
1,13753
2,13760
1,13790
1,13815
6,13820
3,13827
2,13850
3,13904
1,13905
2,14043
2,14075
1,14094
1,14141
1,14150
2,1420
1,14207
1,14221
1,14304
3,1432
1,14414
2,14420
1,14445
1,14450
1,14456
2,1453
2,14564
1,14580
1,14606
1,14607
1,14616
1,14620
1,14621
1,14626
1,14701
1,14760
2,14779
1,14843
3,14850
2,14870
1,14891
1,14903
1,15005
1,1501
1,15012
1,15017
1,15034
1,15068
1,15120
1,15122
1,15132
2,15137
1,15222
1,15224
1,15227
