,popultion,zipcode_str,state,county
0,17800,00601,PR,Adjuntas Municipio
1,39716,00602,PR,Aguada Municipio
2,51565,00603,PR,Aguadilla Municipio
3,6320,00606,PR,Maricao Municipio
4,27976,00610,PR,Aasco Municipio
5,63884,00612,PR,Arecibo Municipio
6,10321,00616,PR,Arecibo Municipio
7,24648,00617,PR,Barceloneta Municipio
8,7385,00622,PR,Cabo Rojo Municipio
9,42711,00623,PR,Cabo Rojo Municipio
10,23945,00624,PR,Peuelas Municipio
11,33481,00627,PR,Camuy Municipio
12,1689,00631,PR,Lares Municipio
13,24013,00637,PR,Sabana Grande Municipio
14,17795,00638,PR,Ciales Municipio
15,28925,00641,PR,Utuado Municipio
16,38292,00646,PR,Dorado Municipio
17,5711,00647,PR,Gunica Municipio
18,14569,00650,PR,Florida Municipio
19,3893,00652,PR,Arecibo Municipio
20,12125,00653,PR,Gunica Municipio
21,19996,00656,PR,Guayanilla Municipio
22,41327,00659,PR,Hatillo Municipio
23,16678,00660,PR,Hormigueros Municipio
24,41986,00662,PR,Isabela Municipio
25,15693,00664,PR,Jayuya Municipio
26,24492,00667,PR,Lajas Municipio
27,27063,00669,PR,Lares Municipio
28,9087,00670,PR,Las Maras Municipio
29,41545,00674,PR,Manat Municipio
30,38488,00676,PR,Moca Municipio
31,14755,00677,PR,Rincn Municipio
32,26490,00678,PR,Quebradillas Municipio
33,50628,00680,PR,Mayagez Municipio
34,32433,00682,PR,Mayagez Municipio
35,32058,00683,PR,San Germn Municipio
36,40102,00685,PR,San Sebastin Municipio
37,32087,00687,PR,Morovis Municipio
38,12797,00688,PR,Arecibo Municipio
39,5328,00690,PR,Aguadilla Municipio
40,36700,00692,PR,Vega Alta Municipio
41,57428,00693,PR,Vega Baja Municipio
42,66,00694,PR,Vega Baja Municipio
43,38502,00698,PR,Yauco Municipio
44,27797,00703,PR,Aguas Buenas Municipio
45,8390,00704,PR,Salinas Municipio
46,24387,00705,PR,Aibonito Municipio
47,11506,00707,PR,Maunabo Municipio
48,18640,00714,PR,Arroyo Municipio
49,3692,00715,PR,Ponce Municipio
50,29351,00716,PR,Ponce Municipio
51,17958,00717,PR,Ponce Municipio
52,26460,00718,PR,Naguabo Municipio
53,30094,00719,PR,Naranjito Municipio
54,22148,00720,PR,Orocovis Municipio
55,18135,00723,PR,Patillas Municipio
56,83479,00725,PR,Caguas Municipio
57,57079,00727,PR,Caguas Municipio
58,41245,00728,PR,Ponce Municipio
59,52897,00729,PR,Canvanas Municipio
60,33899,00730,PR,Ponce Municipio
61,14988,00731,PR,Ponce Municipio
62,12798,00735,PR,Ceiba Municipio
63,49841,00736,PR,Cayey Municipio
64,32409,00738,PR,Fajardo Municipio
65,37558,00739,PR,Cidra Municipio
66,1503,00740,PR,Fajardo Municipio
67,5042,00741,PR,Humacao Municipio
68,53395,00745,PR,Ro Grande Municipio
69,22110,00751,PR,Salinas Municipio
70,39218,00754,PR,San Lorenzo Municipio
71,22732,00757,PR,Santa Isabel Municipio
72,8801,00765,PR,Vieques Municipio
73,24489,00766,PR,Villalba Municipio
74,35734,00767,PR,Yabucoa Municipio
75,39630,00769,PR,Coamo Municipio
76,38132,00771,PR,Las Piedras Municipio
77,21096,00772,PR,Loza Municipio
78,19237,00773,PR,Luquillo Municipio
79,1493,00775,PR,Culebra Municipio
80,40398,00777,PR,Juncos Municipio
81,46990,00778,PR,Gurabo Municipio
82,11597,00780,PR,Ponce Municipio
83,18544,00782,PR,Comero Municipio
84,34702,00783,PR,Corozal Municipio
85,41993,00784,PR,Guayama Municipio
86,287,00786,PR,Aibonito Municipio
87,50515,00791,PR,Humacao Municipio
88,29635,00794,PR,Barranquitas Municipio
89,45852,00795,PR,Juana Daz Municipio
90,6541,00901,PR,San Juan Municipio
91,76,00906,PR,San Juan Municipio
92,17472,00907,PR,San Juan Municipio
