number_of_fastfood,zipcode,population,state,county,graduate_or_professional,highSchool_or_higher,bachelors_or_higher,median,stdev,lat,lon,clean_mean
2,01020,30629.0,MA,Hampden County,6.1,87.9,16.2,57298.5,40508.0,42.173,-72.5854,63987.5
1,01027,17872.0,MA,Hampshire County,12.8,95.2,35.5,190748.5,66716.5,42.26,-72.6939,93036.5
1,01040,40280.0,MA,Hampden County,9.4,79.0,24.1,79691.5,44096.83,42.2047,-72.6244,55908.5
1,01060,15407.0,MA,Hampshire County,34.5,95.4,61.8,300000.0,59449.0,42.3091,-72.6678,85456.0
1,01104,23183.0,MA,Hampden County,4.7,74.7,12.7,34320.5,37990.0,42.1261,-72.5829,42570.5
1,01106,15983.0,MA,Hampden County,36.1,96.4,65.4,110033.0,83548.0,42.0536,-72.5484,116693.0
1,01109,30139.0,MA,Hampden County,5.4,77.9,15.1,121060.0,33400.0,42.1196,-72.5504,42481.0
2,01201,45001.0,MA,Berkshire County,11.3,90.2,28.8,37595.0,39358.2,42.4491,-73.2483,51498.8
1,01230,8195.0,MA,Berkshire County,22.9,91.2,41.5,32115.0,57210.0,42.302,-73.32300000000001,55825.0
2,01238,5950.0,MA,Berkshire County,16.2,90.5,32.6,94260.0,70871.0,42.3032,-73.2339,104263.0
1,01240,4592.0,MA,Berkshire County,27.2,96.0,53.8,52344.0,66226.0,42.3679,-73.2698,74653.0
1,01247,15725.0,MA,Berkshire County,9.3,85.2,24.4,20493.0,18274.0,42.6985,-73.0843,24461.0
2,01420,40441.0,MA,Worcester County,7.3,82.4,20.7,111213.0,41410.75,42.5839,-71.8004,54553.25
3,01432,7594.0,MA,Middlesex County,19.9,95.5,40.4,114277.0,74673.0,42.5629,-71.5801,116236.0
2,01453,41336.0,MA,Worcester County,9.4,86.3,28.1,47942.33,45298.33,42.5248,-71.7498,55125.0
1,01501,16239.0,MA,Worcester County,13.9,93.3,38.3,60190.0,55673.0,42.2149,-71.8346,77291.0
1,01540,10921.0,MA,Worcester County,8.4,93.8,28.1,300000.0,34604.0,42.1355,-71.8565,56404.0
